case_name,architecture,assignment,chunk_size,request_rate_per_second,input_tokens,output_tokens,trace_num_requests,prefill_gpu_count,decode_gpu_count,colocated_gpu_count,scheduler_max_prefill_batch_tokens,pd_prefill_max_batch_tokens,ttft_mean_ms,tpot_mean_ms,e2e_mean_ms,e2e_p99_ms,slo_attainment_fraction,goodput_reqs_per_sec,output_token_throughput_tokens_per_sec,source_summary,request_config_path
c4__chunk_0512__rps_04__in_07168__out_2048,colocated_chunked,C4,512,4.0,7168,2048,256,,,4,512,,16258.990026929687,27.167393007316587,71868.97405591406,91428.714163,0.01171875,0.022407036923205698,3915.9135247978893,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0512__rps_04__in_07168__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0512__rps_04__in_07168__out_2048/request.json
c4__chunk_0512__rps_04__in_10000__out_2048,colocated_chunked,C4,512,4.0,10000,2048,256,,,4,512,,23081.652393765624,28.332181581115723,81077.12342189062,106937.89549099999,0.0,0.0,3658.9006366521207,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0512__rps_04__in_10000__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0512__rps_04__in_10000__out_2048/request.json
c4__chunk_1024__rps_04__in_00128__out_2048,colocated_chunked,C4,1024,4.0,128,2048,256,,,4,1024,,6536.781749195312,21.057510020874023,49633.72542194531,58658.661656,0.5,1.1091337036122184,4543.011649995647,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_1024__rps_04__in_00128__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_1024__rps_04__in_00128__out_2048/request.json
c4__chunk_1024__rps_04__in_00256__out_2048,colocated_chunked,C4,1024,4.0,256,2048,256,,,4,1024,,6599.777275093749,21.099464645874022,49782.64401984375,58853.762749999994,0.5,1.107862302715753,4537.803991923724,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_1024__rps_04__in_00256__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_1024__rps_04__in_00256__out_2048/request.json
c4__chunk_1024__rps_04__in_00512__out_2048,colocated_chunked,C4,1024,4.0,512,2048,256,,,4,1024,,6724.312213726562,21.183373895874023,50079.02510247656,59241.866814,0.5,1.1055157593902671,4528.192550462534,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_1024__rps_04__in_00512__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_1024__rps_04__in_00512__out_2048/request.json
c4__chunk_1024__rps_04__in_01024__out_2048,colocated_chunked,C4,1024,4.0,1024,2048,256,,,4,1024,,6976.294317320312,21.351192395874023,50674.69949407031,60042.980355,0.5,1.1008523679740552,4509.09129922173,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_1024__rps_04__in_01024__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_1024__rps_04__in_01024__out_2048/request.json
c4__chunk_1024__rps_04__in_01536__out_2048,colocated_chunked,C4,1024,4.0,1536,2048,256,,,4,1024,,7686.3725178671875,21.825401291748047,52355.95751336718,62302.15225499999,0.5,1.0880398621671694,4456.611275436726,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_1024__rps_04__in_01536__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_1024__rps_04__in_01536__out_2048/request.json
c4__chunk_1024__rps_04__in_02048__out_2048,colocated_chunked,C4,1024,4.0,2048,2048,256,,,4,1024,,7937.383879351562,21.993219791748047,52950.66116285156,63103.265796,0.5,1.0835273252340816,4438.127924158798,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_1024__rps_04__in_02048__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_1024__rps_04__in_02048__out_2048/request.json
c4__chunk_1024__rps_04__in_03072__out_2048,colocated_chunked,C4,1024,4.0,3072,2048,256,,,4,1024,,8899.960707648437,22.634276380067824,55226.12188402734,66142.842072,0.5,1.0667344170762956,4369.344172344507,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_1024__rps_04__in_03072__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_1024__rps_04__in_03072__out_2048/request.json
c4__chunk_1024__rps_04__in_04096__out_2048,colocated_chunked,C4,1024,4.0,4096,2048,256,,,4,1024,,9865.200880421875,23.27468576335144,57502.920473765626,69203.127513,0.5,1.0502847702719924,4301.966419034081,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_1024__rps_04__in_04096__out_2048/summary.json,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_1024__rps_04__in_04096__out_2048/request.json
